Subjects	Accuracy	EncodingContext	TestContext
1	1	Land	Land
2	0.7343101357002	Land	Land
3	0.930886458798518	Land	Land
4	0.909218393709326	Land	Land
5	0.887331571701617	Land	Land
6	0.974706589781218	Land	Land
7	0.810466630776661	Land	Land
8	0.88802669212813	Land	Land
9	1	Land	Land
10	0.814188693183231	Land	Land
11	0.843586844060222	Land	Land
12	0.811320043428237	Land	Land
13	0.600853607667806	Land	Land
14	0.688876656971564	Land	Land
15	0.892467532189125	Land	Land
16	0.754448182508789	Land	Land
17	0.810470721978657	Land	Land
18	0.846772329061466	Land	Land
19	0.672718916176824	Land	Land
20	0.748611501105057	Land	Land
21	0.458871890354482	Land	Water
22	0.678386949425782	Land	Water
23	0.587631840505092	Land	Water
24	0.478628335690104	Land	Water
25	0.54831945028378	Land	Water
26	0.52768898594801	Land	Water
27	0.690022591256859	Land	Water
28	0.717900558950178	Land	Water
29	0.517165172065367	Land	Water
30	0.636039005513763	Land	Water
31	0.663278219309045	Land	Water
32	0.613999422388805	Land	Water
33	0.552564333053978	Land	Water
34	0.689729314876792	Land	Water
35	0.56309799866323	Land	Water
36	0.576555535927226	Land	Water
37	0.669836673095031	Land	Water
38	0.741426869945681	Land	Water
39	0.765514586581263	Land	Water
40	0.540453029219742	Land	Water
41	0.44910757691398	Water	Land
42	0.501688786650649	Water	Land
43	0.613740165747816	Water	Land
44	0.606542883208623	Water	Land
45	0.72613062062287	Water	Land
46	0.421488425007117	Water	Land
47	0.736569454156024	Water	Land
48	0.606151669167949	Water	Land
49	0.371611547949711	Water	Land
50	0.798933938991496	Water	Land
51	0.672983095328467	Water	Land
52	0.548147304556603	Water	Land
53	0.631390808655037	Water	Land
54	0.671218222054591	Water	Land
55	0.604082482796149	Water	Land
56	0.607351088531631	Water	Land
57	0.717072068570582	Water	Land
58	0.482145486721722	Water	Land
59	0.622440807476573	Water	Land
60	0.680661830835579	Water	Land
61	0.675364585210935	Water	Water
62	0.762174567754831	Water	Water
63	0.922713686081331	Water	Water
64	0.94029983028093	Water	Water
65	0.682060234536784	Water	Water
66	0.76250498437713	Water	Water
67	0.946251852921641	Water	Water
68	0.682828734778943	Water	Water
69	0.909191723504893	Water	Water
70	0.87195692150619	Water	Water
71	0.764864829530659	Water	Water
72	0.819411058413969	Water	Water
73	0.613319302761361	Water	Water
74	0.908009354156647	Water	Water
75	0.640830053721999	Water	Water
76	0.76963914607629	Water	Water
77	0.784435759738297	Water	Water
78	0.613325218217716	Water	Water
79	0.833322589453932	Water	Water
80	0.837066458740239	Water	Water
