Subjects	ReactionTime	Task	Congruency
1	545.767141298728	NameColor	Congruent
2	505.145618588485	NameColor	Congruent
3	439.383062156601	NameColor	Congruent
4	404.735384632638	NameColor	Congruent
5	486.261291352047	NameColor	Congruent
6	511.554276450425	NameColor	Congruent
7	561.232626631179	NameColor	Congruent
8	557.873377672094	NameColor	Congruent
9	414.591927023967	NameColor	Congruent
10	293.086985230625	NameColor	Congruent
11	580.300824648712	NameColor	Congruent
12	359.934926768933	NameColor	Congruent
13	388.982288407811	NameColor	Congruent
14	492.097820874467	NameColor	Congruent
15	542.829184324633	NameColor	Congruent
16	550.546412046503	NameColor	Congruent
17	545.863839721783	NameColor	Congruent
18	663.661879264037	NameColor	Congruent
19	255.992899067553	NameColor	Congruent
20	388.545935263403	NameColor	Congruent
1	848.805899737466	NameColor	Incongruent
2	720.916027264123	NameColor	Incongruent
3	743.676971528343	NameColor	Incongruent
4	719.810519432027	NameColor	Incongruent
5	760.013975456315	NameColor	Incongruent
6	636.449033132017	NameColor	Incongruent
7	724.784705847125	NameColor	Incongruent
8	504.564239106795	NameColor	Incongruent
9	690.506632674291	NameColor	Incongruent
10	812.061314767581	NameColor	Incongruent
11	724.212465977125	NameColor	Incongruent
12	637.779330523312	NameColor	Incongruent
13	610.661770346913	NameColor	Incongruent
14	639.004544103162	NameColor	Incongruent
15	778.783098515637	NameColor	Incongruent
16	675.123043145826	NameColor	Incongruent
17	782.247337073523	NameColor	Incongruent
18	592.21514902899	NameColor	Incongruent
19	796.838393474893	NameColor	Incongruent
20	789.540442534863	NameColor	Incongruent
1	397.003493658805	NameWord	Congruent
2	376.547448548711	NameWord	Congruent
3	307.34751814607	NameWord	Congruent
4	418.002773681245	NameWord	Congruent
5	590.450219382756	NameWord	Congruent
6	390.204443330126	NameWord	Congruent
7	246.315653987152	NameWord	Congruent
8	596.455188624764	NameWord	Congruent
9	318.319382455904	NameWord	Congruent
10	537.660129615248	NameWord	Congruent
11	548.935387266873	NameWord	Congruent
12	559.508230975169	NameWord	Congruent
13	446.142523928707	NameWord	Congruent
14	375.975383226506	NameWord	Congruent
15	687.080765924987	NameWord	Congruent
16	252.356367770584	NameWord	Congruent
17	429.63417786755	NameWord	Congruent
18	410.74306030044	NameWord	Congruent
19	532.42436149327	NameWord	Congruent
20	342.384579785005	NameWord	Congruent
1	470.663091458896	NameWord	Incongruent
2	442.441251403908	NameWord	Incongruent
3	529.872518638394	NameWord	Incongruent
4	399.845983066177	NameWord	Incongruent
5	251.962181315313	NameWord	Incongruent
6	212.803408791741	NameWord	Incongruent
7	333.81884231152	NameWord	Incongruent
8	337.939310902288	NameWord	Incongruent
9	518.256959408145	NameWord	Incongruent
10	299.868286502988	NameWord	Incongruent
11	639.74901748505	NameWord	Incongruent
12	355.794147754392	NameWord	Incongruent
13	444.683964457616	NameWord	Incongruent
14	387.069370997164	NameWord	Incongruent
15	321.554700025796	NameWord	Incongruent
16	460.788575423677	NameWord	Incongruent
17	490.72448859684	NameWord	Incongruent
18	444.054970646559	NameWord	Incongruent
19	394.482781905329	NameWord	Incongruent
20	544.800896137388	NameWord	Incongruent
