	Subjects	Trial	Delay	RTs						
1	1	1	500	203.717274		Average of RTs	Column Labels			
2	1	2	500	181.9794068		Row Labels	100	500	(blank)	Grand Total
3	1	3	100	367.4771948		1	350.3869055	249.7257527		300.0563291
4	1	4	500	180.0923873		2	347.2211838	254.3669238		300.7940538
5	1	5	100	464.8530836		3	352.0755329	257.8428744		304.9592036
6	1	6	500	273.7970842		4	354.8465452	253.021813		303.9341791
7	1	7	100	377.050545		5	358.5851938	238.7154862		298.65034
8	1	8	100	368.7451002		6	348.7888541	256.3139605		302.5514073
9	1	9	500	248.8544872		7	350.030364	249.4260831		299.7282236
10	1	10	500	246.5257962		8	356.4879747	249.26949		302.8787324
11	1	11	500	264.5874805		9	347.097256	239.2596943		293.1784752
12	1	12	500	187.0054636		10	346.1085373	247.6452995		296.8769184
13	1	13	500	259.5364404		11	359.0725892	245.7827177		302.4276535
14	1	14	500	251.8319577		12	347.3110269	244.4786924		295.8948596
15	1	15	500	260.1527677		13	353.3155601	244.2094986		298.7625293
16	1	16	500	224.4435665		14	334.943289	248.0274692		291.4853791
17	1	17	500	199.5060514		15	351.7064012	248.8804686		300.2934349
18	1	18	500	186.6225634		16	350.5706994	244.9769677		297.7738336
19	1	19	500	239.9224828		17	356.2564984	249.2315056		302.744002
20	1	20	100	340.0806224		18	354.6890925	245.688027		300.1885598
21	1	21	500	228.2582458		19	343.5055535	255.5597382		299.5326459
22	1	22	100	380.367197		20	341.3904846	247.3171377		294.3538112
23	1	23	500	254.1799301		(blank)				
24	1	24	500	271.4858505		Grand Total	350.2194771	248.48698		299.3532286
25	1	25	100	289.3423196						
26	1	26	500	133.6792605						
27	1	27	500	326.2545714						
28	1	28	100	296.6760705						
29	1	29	500	306.4188828						
30	1	30	100	426.7876811						
31	1	31	100	355.881382						
32	1	32	500	319.6133729						
33	1	33	500	262.1677232						
34	1	34	100	335.0209524						
35	1	35	100	227.8757481						
36	1	36	500	295.724114						
37	1	37	500	208.8159999						
38	1	38	100	429.953728						
39	1	39	100	391.0829059						
40	1	40	100	313.2288573						
41	1	41	500	152.7386475						
42	1	42	100	425.528946						
43	1	43	100	418.817588						
44	1	44	100	352.6383501						
45	1	45	500	216.4174724						
46	1	46	100	251.6156937						
47	1	47	500	280.301121						
48	1	48	100	332.4470422						
49	1	49	100	458.5197117						
50	1	50	100	361.31129						
51	1	51	100	311.0246798						
52	1	52	100	415.4829332						
53	1	53	500	265.2847871						
54	1	54	500	229.5521859						
55	1	55	100	377.5422075						
56	1	56	500	192.7369726						
