colorstim,corrAnswer,congruency,wordstim,StrialsLoop.thisRepN,StrialsLoop.thisTrialN,StrialsLoop.thisN,StrialsLoop.thisIndex,KeypressTime.keys,KeypressTime.corr,KeypressTime.rt,date,frameRate,expName,session,participant,
red,r,0,yellow,0,0,0,5,r,1,1.12012195587,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
blue,b,0,red,0,1,1,10,b,1,0.685652017593,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
blue,b,1,blue,0,2,2,7,b,1,0.468327045441,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
red,r,1,red,0,3,3,0,r,1,0.535138845444,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
red,r,1,red,0,4,4,2,r,1,0.518367052078,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
green,g,0,yellow,0,5,5,23,g,1,0.986363887787,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
yellow,y,1,yellow,0,6,6,13,y,1,0.551743030548,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
red,r,1,red,0,7,7,1,r,1,0.585213899612,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
green,g,1,green,0,8,8,19,g,1,0.668766021729,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
green,g,0,blue,0,9,9,21,g,1,0.902759075165,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
green,g,1,green,0,10,10,18,g,1,0.551738023758,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
green,g,1,green,0,11,11,20,g,1,0.48499417305,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
blue,b,0,yellow,0,12,12,11,b,1,0.652111053467,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
yellow,y,1,yellow,0,13,13,12,y,1,0.535130023956,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
yellow,y,0,green,0,14,14,15,y,1,0.885982036591,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
red,r,0,green,0,15,15,3,r,1,0.752511024475,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
blue,b,0,green,0,16,16,9,b,1,0.618680000305,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
yellow,y,0,blue,0,17,17,16,y,1,0.585214853287,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
green,g,0,red,0,18,18,22,g,1,0.952803850174,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
red,r,0,blue,0,19,19,4,r,1,0.652043104172,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
blue,b,1,blue,0,20,20,8,b,1,0.568480014801,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
blue,b,1,blue,0,21,21,6,b,1,0.568604946136,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
yellow,y,1,yellow,0,22,22,14,y,1,0.602057933807,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
yellow,y,0,red,0,23,23,17,y,1,0.585180997849,2013_Sep_18_1426,60.0095859581,StroopExample,001,1,
