Subjects	IV1	DV
1	Group1	620.355893622343
2	Group1	661.457011509867
3	Group1	394.660925644275
4	Group1	382.138050712675
5	Group1	360.95469485377
6	Group1	598.240128919483
7	Group1	736.596560332042
8	Group1	430.347946968637
9	Group1	238.004469804263
10	Group1	468.551538946289
11	Group1	579.01624386933
12	Group1	428.309190329505
13	Group1	403.676320258596
14	Group1	480.049972782655
15	Group1	498.878170505935
16	Group1	434.250069709794
17	Group1	398.886412347733
18	Group1	474.250366677837
19	Group1	669.648686208514
20	Group1	534.008591518045
21	Group2	567.442065960517
22	Group2	687.601821459908
23	Group2	427.249957919461
24	Group2	565.521118722448
25	Group2	599.26622833445
26	Group2	608.524553956632
27	Group2	589.506048860972
28	Group2	398.498024455993
29	Group2	539.94379877703
30	Group2	416.872997309711
31	Group2	413.631477645641
32	Group2	475.290074666211
33	Group2	626.858645875636
34	Group2	504.272643668572
35	Group2	529.429503214665
36	Group2	647.859111887506
37	Group2	671.398003869963
38	Group2	489.23991256163
39	Group2	678.188182774383
40	Group2	662.788312782144
41	Group3	639.969950978564
42	Group3	636.096916746559
43	Group3	511.471446557786
44	Group3	592.347455165851
45	Group3	446.37287879934
46	Group3	829.089011178928
47	Group3	746.700404547818
48	Group3	725.475643284601
49	Group3	648.756584124306
50	Group3	537.128419204798
51	Group3	544.254387466565
52	Group3	627.638255054228
53	Group3	554.044330784086
54	Group3	584.305433746653
55	Group3	470.35707006464
56	Group3	638.720791060607
57	Group3	485.753944176023
58	Group3	553.77047701986
59	Group3	429.453116419251
60	Group3	575.296205648623
