Subjects	ReactionTime	Practice
1	597.079508074672	Block1
2	652.285477533192	Block1
3	668.413514112828	Block1
4	669.597290766514	Block1
5	642.569243717062	Block1
6	698.309845461482	Block1
7	728.269115756106	Block1
8	713.78515854615	Block1
9	718.459919619322	Block1
10	655.713995408463	Block1
11	701.841121540216	Block1
12	656.263089299697	Block1
13	656.184009343316	Block1
14	698.903357185799	Block1
15	642.172687885944	Block1
16	662.57428030219	Block1
17	709.836254954408	Block1
18	694.056733261772	Block1
19	656.343430644935	Block1
20	688.757991387019	Block1
1	737.768054573966	Block2
2	650.115042030893	Block2
3	631.857588509826	Block2
4	573.49723992173	Block2
5	658.21177349699	Block2
6	669.451225114716	Block2
7	652.460946257214	Block2
8	645.961830040574	Block2
9	684.600085427338	Block2
10	643.093228050713	Block2
11	563.233747115572	Block2
12	602.597257106614	Block2
13	721.368043306295	Block2
14	620.815793919719	Block2
15	592.358876281945	Block2
16	704.133503330688	Block2
17	570.261244172034	Block2
18	618.48091101129	Block2
19	673.04425585292	Block2
20	701.388632488141	Block2
1	528.527792225985	Block3
2	576.041469296645	Block3
3	678.912263056876	Block3
4	695.22341741385	Block3
5	695.379763782443	Block3
6	605.719671012091	Block3
7	526.846286874189	Block3
8	571.739529977663	Block3
9	540.686535120486	Block3
10	541.905490954757	Block3
11	613.114285279211	Block3
12	701.05695773883	Block3
13	728.130233262762	Block3
14	628.06057091216	Block3
15	624.83955184206	Block3
16	658.203227964764	Block3
17	641.809807900595	Block3
18	555.808379231253	Block3
19	634.365674963665	Block3
20	582.080172342136	Block3
1	584.691242685349	Block4
2	549.754290062832	Block4
3	608.099317783515	Block4
4	550.622395009236	Block4
5	621.017134791166	Block4
6	622.738078413452	Block4
7	693.295239496658	Block4
8	755.672200086735	Block4
9	593.871408080734	Block4
10	512.447552625332	Block4
11	546.868853472345	Block4
12	617.270243555039	Block4
13	583.395386322785	Block4
14	639.274321927359	Block4
15	704.635926682001	Block4
16	541.912525956802	Block4
17	582.856666159607	Block4
18	595.20447291666	Block4
19	560.279047160518	Block4
20	605.957538679874	Block4
