colorstim,corrAnswer,congruency,wordstim,StrialsLoop.thisRepN,StrialsLoop.thisTrialN,StrialsLoop.thisN,StrialsLoop.thisIndex,KeypressTime.keys,KeypressTime.corr,KeypressTime.rt,date,frameRate,expName,session,participant,X
red,r,0,yellow,0,0,0,5,r,1,1.13606980360159,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
blue,b,0,red,0,1,1,10,b,1,0.458929887250303,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
blue,b,1,blue,0,2,2,7,b,1,0.594140003089962,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
red,r,1,red,0,3,3,0,r,1,0.163728138428938,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
red,r,1,red,0,4,4,2,r,1,0.500383164882432,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
green,g,0,yellow,0,5,5,23,g,1,1.18367902092791,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
yellow,y,1,yellow,0,6,6,13,y,1,0.466709944772887,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
red,r,1,red,0,7,7,1,r,1,0.368597641461471,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
green,g,1,green,0,8,8,19,g,1,0.711378325224203,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
green,g,0,blue,0,9,9,21,g,1,1.04296550943837,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
green,g,1,green,0,10,10,18,g,1,0.374052850327262,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
green,g,1,green,0,11,11,20,g,1,0.34539587707061,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
blue,b,0,yellow,0,12,12,11,b,1,0.403428227792679,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
yellow,y,1,yellow,0,13,13,12,y,1,0.313563709284833,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
yellow,y,0,green,0,14,14,15,y,1,0.705033179855091,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
red,r,0,green,0,15,15,3,r,1,0.942745485280839,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
blue,b,0,green,0,16,16,9,b,1,0.56442098245897,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
yellow,y,0,blue,0,17,17,16,y,1,0.419325122968332,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
green,g,0,red,0,18,18,22,g,1,0.964561752496293,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
red,r,0,blue,0,19,19,4,r,1,0.869194999865677,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
blue,b,1,blue,0,20,20,8,b,1,0.534025513398395,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
blue,b,1,blue,0,21,21,6,b,1,0.884415044318175,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
yellow,y,1,yellow,0,22,22,14,y,1,0.711832566181161,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
yellow,y,0,red,0,23,23,17,y,1,0.457261206710485,2013_Sep_18_1426,60.0095859581,StroopExample,1,3,NA
