Date,totaltime,TimeRA,endqualtrics,a1,a2,a3,a4,a5,a6,a7,a8,a9,apercent,v1,v2,v3,v4,v5,v6,v7,v8,v9,vpercent,museumbefore,italybefore,knowledge,labID,gender,age,photoSR,photonumb,attncheck,Day,Day2,condition,Issue?,issuedrop,photo1,photo2,photo3,photo4,photo5,photo6,photo7,photo8,photo9,other,total,PhotoTotal,NPTotal,PhotoCorrect,NPCorrect,PhotoComp,NPComp,photossent,,,
9-Feb,20.07,2:45:00 PM,3:05:04 PM,0,1,1,1,1,0,1,1,1,77.77777778,1,0,0,1,0,0,1,1,1,55.55555556,2,2,1,21726,1,26,1,6,1,Tuesday 2/9,1,photo,0,0,0,1,1,0,0,1,0,0,1,2,6,4,5,25,80,25,80,1,,,
10-Feb,23.47,10:58:00 AM,11:21:28 AM,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,0,0,1,1,77.77777778,2,1,2,28220,2,34,1,17,0,Wednesday 2/10,2,photo,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,0,,,
16-Feb,21.20,2:41:00 PM,3:02:12 PM,1,0,1,0,1,1,1,0,0,55.55555556,1,1,1,1,0,1,1,1,1,88.88888889,2,2,1,31980,1,22,1,12,1,Tuesday 2/16,5,photo,0,0,1,0,0,0,0,0,0,0,0,4,5,1,8,100,50,100,50,1,,,
10-Feb,139.08,12:02:00 PM,2:21:05 PM,1,1,1,0,1,0,0,1,0,55.55555556,1,1,0,1,1,1,0,1,1,77.77777778,2,1,1,32175,2,25,0,.,0,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,,,,
16-Feb,18.62,3:45:00 PM,4:03:37 PM,0,1,1,1,1,1,1,1,1,88.88888889,0,1,0,1,1,0,0,1,0,44.44444444,2,2,1,33282,2,23,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
10-Feb,22.62,2:39:00 PM,3:01:37 PM,1,1,1,1,1,1,1,1,1,100,1,1,0,0,0,0,0,1,1,44.44444444,2,1,4,33839,1,26,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
16-Feb,21.28,4:12:00 PM,4:33:17 PM,1,1,1,1,1,1,1,1,1,100,1,1,1,0,0,0,0,1,1,55.55555556,1,2,3,34611,1,27,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
9-Feb,17.10,1:20:00 PM,1:37:06 PM,1,1,1,1,0,1,1,1,1,88.88888889,1,1,0,0,0,0,0,1,1,44.44444444,2,2,1,34984,2,22,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
10-Feb,17.85,12:02:00 PM,12:19:51 PM,0,1,0,1,1,1,1,1,1,77.77777778,1,1,0,0,1,1,0,0,0,44.44444444,2,2,1,35069,2,22,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
9-Feb,20.52,10:19:00 AM,10:39:31 AM,0,1,0,0,0,1,0,1,1,44.44444444,1,1,0,1,1,1,1,1,0,77.77777778,2,1,1,35153,2,21,1,3,1,Tuesday 2/9,1,photo,0,0,0,0,0,0,0,0,0,0,0,6,6,0,9,,44.44444444,,44.44444444,1,,,
11-Feb,19.38,3:03:00 PM,3:22:23 PM,1,1,1,0,1,1,1,1,1,88.88888889,1,0,1,0,1,1,0,1,1,66.66666667,2,2,2,35161,1,21,1,8,1,Thursday 2/11,3,photo,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,0,,,
16-Feb,18.05,3:15:00 PM,3:33:03 PM,1,1,0,1,1,1,1,1,1,88.88888889,0,1,0,1,1,0,1,1,1,66.66666667,2,1,1,35183,2,21,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
17-Feb,16.82,3:07:00 PM,3:23:49 PM,1,0,1,1,1,1,0,0,0,55.55555556,1,1,1,0,1,1,0,1,1,77.77777778,2,2,1,35194,2,22,1,8,1,Wednesday 2/17,6,photo,0,0,0,0,0,1,0,0,0,0,0,7,8,1,8,0,50,0,50,1,,,
16-Feb,19.68,10:41:00 AM,11:00:41 AM,1,1,0,1,1,1,0,1,1,77.77777778,1,1,1,0,1,1,0,1,0,66.66666667,2,1,1,35334,2,22,1,5,1,Tuesday 2/16,5,photo,0,0,0,1,0,0,0,0,0,0,0,4,5,1,8,100,75,100,75,1,,,
12-Feb,24.03,2:07:00 PM,2:31:02 PM,1,1,1,1,0,1,1,0,1,77.77777778,1,1,1,1,1,0,1,1,0,77.77777778,2,2,1,35365,2,22,1,8,1,Friday 2/12,4,photo,0,0,0,0,0,1,0,0,0,0,0,7,8,1,8,100,75,100,75,1,,,
10-Feb,17.17,2:04:00 PM,2:21:10 PM,0,0,1,1,1,1,1,1,1,77.77777778,1,0,0,0,1,0,0,1,0,33.33333333,2,2,1,35396,2,21,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,33.33333333,33.33333333,,,,
17-Feb,,,2:08:23 PM,1,1,1,0,0,1,1,1,1,77.77777778,1,1,1,1,1,1,1,1,0,88.88888889,2,1,1,35397,2,23,1,5,1,.,6,photo,.,,1,1,0,1,0,1,0,0,0,1,5,4,5,100,80,100,80,1,,,
10-Feb,16.73,12:43:00 PM,12:59:44 PM,1,0,1,1,1,1,0,1,1,77.77777778,1,1,1,1,1,1,1,1,0,88.88888889,1,1,5,35448,2,21,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,88.88888889,88.88888889,,,,
17-Feb,18.28,1:36:00 PM,1:54:17 PM,1,0,1,1,0,1,1,1,1,77.77777778,1,1,1,0,0,0,0,1,0,44.44444444,2,2,1,35465,2,21,1,8,1,Wednesday 2/17,6,photo,0,0,0,1,0,0,0,0,0,0,0,7,8,1,8,100,87.5,100,87.5,1,,,
11-Feb,21.17,11:25:00 AM,11:46:10 AM,1,1,1,0,0,1,1,1,1,77.77777778,0,1,1,0,0,1,0,1,0,44.44444444,2,1,1,35467,2,21,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
10-Feb,20.38,10:39:00 AM,10:59:23 AM,1,1,1,1,1,1,0,1,1,88.88888889,1,1,0,1,0,1,0,0,0,44.44444444,2,1,2,35477,1,22,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
16-Feb,18.30,1:35:00 PM,1:53:18 PM,1,1,1,0,1,1,1,1,1,88.88888889,1,1,0,1,0,1,0,1,0,55.55555556,2,2,1,35497,2,21,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
10-Feb,18.55,2:09:00 PM,2:27:33 PM,0,0,0,1,0,1,1,0,1,44.44444444,0,1,0,0,1,1,0,1,0,44.44444444,2,2,3,35536,1,21,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
9-Feb,23.00,2:24:00 PM,2:47:00 PM,1,1,1,0,1,1,1,1,1,88.88888889,1,1,1,1,0,1,1,1,0,77.77777778,2,2,3,35539,1,22,1,7,1,Tuesday 2/9,1,photo,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,0,,,
11-Feb,17.98,2:38:00 PM,2:55:59 PM,0,0,0,0,1,1,0,0,1,33.33333333,1,1,0,0,1,0,0,1,1,55.55555556,2,2,1,35573,2,22,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
17-Feb,18.78,12:38:00 PM,12:56:47 PM,0,1,1,1,1,1,1,1,1,88.88888889,0,1,0,0,1,0,1,1,1,55.55555556,1,1,1,35580,1,21,0,.,1,Wednesday 2/17,6,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
11-Feb,18.30,3:24:00 PM,3:42:18 PM,1,1,1,1,0,1,1,1,0,77.77777778,1,1,0,1,0,0,0,1,1,55.55555556,2,2,5,35585,1,21,1,6,1,Thursday 2/11,3,photo,0,0,0,1,0,0,0,0,0,0,0,6,7,1,8,100,75,100,75,1,,,
11-Feb,19.00,10:24:00 AM,10:43:00 AM,1,0,0,1,1,1,1,0,1,66.66666667,1,1,1,0,0,0,1,1,0,55.55555556,2,1,1,35661,2,22,0,.,1,Friday 2/12,4,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
10-Feb,18.78,12:58:00 PM,1:16:47 PM,1,1,1,0,0,0,1,0,0,44.44444444,1,1,0,0,0,0,0,1,0,33.33333333,2,1,2,35687,1,21,1,8,1,Wednesday 2/10,2,photo,0,0,1,0,0,0,0,0,0,0,0,9,10,1,8,100,37.5,100,37.5,1,,,
12-Feb,22.20,10:54:00 AM,11:16:12 AM,1,1,1,1,1,1,1,1,1,100,1,1,0,1,1,1,0,1,0,66.66666667,2,2,1,35703,2,21,0,.,1,Friday 2/12,4,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
11-Feb,20.22,11:03:00 AM,11:23:13 AM,0,0,1,1,1,1,0,1,0,55.55555556,1,1,1,1,1,1,0,1,1,88.88888889,2,1,2,35788,2,21,1,3,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,88.88888889,88.88888889,,,,
11-Feb,17.63,11:39:00 AM,11:56:38 AM,1,1,1,1,0,1,0,1,0,66.66666667,1,0,1,1,1,1,0,1,1,77.77777778,2,2,1,35836,1,21,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,,,,
9-Feb,16.10,1:05:00 PM,1:21:06 PM,1,1,0,1,1,1,0,1,1,77.77777778,1,0,1,0,0,0,0,0,1,33.33333333,2,2,1,35919,1,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,33.33333333,33.33333333,,,,
10-Feb,17.78,1:37:00 PM,1:54:47 PM,1,1,0,0,1,1,1,0,0,55.55555556,1,1,1,0,1,1,0,1,0,66.66666667,2,2,1,35949,1,22,1,10,1,Wednesday 2/10,2,photo,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,0,,,
12-Feb,16.85,3:43:00 PM,3:59:51 PM,0,1,1,1,1,1,0,0,0,55.55555556,1,1,0,0,0,1,0,0,0,33.33333333,1,2,1,36013,2,21,0,.,1,Friday 2/12,4,nophoto,0,0,,,,,,,,,,,,,,,,33.33333333,33.33333333,,,,
16-Feb,19.07,3:24:00 PM,3:43:04 PM,1,1,1,0,0,0,0,1,1,55.55555556,1,0,0,1,0,0,0,0,1,33.33333333,2,2,1,36160,2,22,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,33.33333333,33.33333333,,,,
11-Feb,18.78,1:52:00 PM,2:10:47 PM,0,0,1,1,1,0,1,0,1,55.55555556,1,1,0,1,1,0,0,1,0,55.55555556,2,2,1,36173,2,22,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
17-Feb,17.37,1:57:00 PM,2:14:22 PM,1,0,1,0,1,1,0,1,1,66.66666667,1,1,0,0,1,0,1,0,1,55.55555556,2,2,1,36204,2,21,1,10,1,Wednesday 2/17,6,photo,0,0,1,0,1,0,0,0,1,0,0,7,10,3,6,66.66666667,66.66666667,66.66666667,66.66666667,1,,,
17-Feb,17.20,12:46:00 PM,1:03:12 PM,1,1,0,1,1,1,0,0,0,55.55555556,1,1,1,1,1,1,0,0,1,77.77777778,2,2,2,36211,2,21,0,.,1,Wednesday 2/17,6,nophoto,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,,,,
16-Feb,18.77,11:40:00 AM,11:58:46 AM,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,0,1,0,77.77777778,2,1,1,36287,2,21,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,,,,
16-Feb,18.68,1:41:00 PM,1:59:41 PM,1,1,0,0,1,1,1,1,1,77.77777778,0,1,1,0,0,1,1,0,1,55.55555556,2,1,1,36314,2,21,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
17-Feb,20.62,3:23:00 PM,3:43:37 PM,0,0,1,1,0,0,0,1,1,44.44444444,1,1,1,0,1,1,1,1,1,88.88888889,2,2,1,36363,3,21,1,14,1,Wednesday 2/17,6,photo,0,0,,,,,,,,,,,,,,,,88.88888889,88.88888889,0,,,
9-Feb,18.45,11:04:00 AM,11:22:27 AM,1,0,1,1,1,1,1,0,1,77.77777778,1,0,1,0,0,0,0,1,0,33.33333333,2,1,1,36372,2,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,33.33333333,33.33333333,,,,
9-Feb,17.47,12:20:00 PM,12:37:28 PM,1,1,0,0,1,1,1,0,0,55.55555556,0,1,0,0,0,1,0,1,1,44.44444444,2,1,1,36392,2,21,1,5,1,Tuesday 2/9,1,photo,0,0,0,0,0,0,0,0,0,0,0,5,5,0,9,,55.55555556,,55.55555556,1,,,
9-Feb,16.67,12:05:00 PM,12:21:40 PM,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,100,2,2,1,36484,2,21,1,6,1,Tuesday 2/9,1,photo,0,0,1,0,0,0,0,0,0,0,0,5,6,1,8,100,100,100,100,1,,,
9-Feb,19.42,1:03:00 PM,1:22:25 PM,0,1,1,1,1,1,0,0,1,66.66666667,1,1,1,0,0,1,0,1,0,55.55555556,2,2,1,36515,2,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
12-Feb,33.03,10:56:00 AM,11:29:02 AM,0,1,1,1,1,1,1,1,1,88.88888889,1,1,0,1,1,0,0,1,1,66.66666667,2,2,1,36634,2,21,0,.,1,Friday 2/12,4,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
16-Feb,20.37,10:19:00 AM,10:39:22 AM,1,1,1,1,1,1,1,1,1,100,1,1,1,0,1,0,1,1,0,66.66666667,2,1,4,36654,1,21,1,5,1,Tuesday 2/16,5,photo,0,0,0,1,0,1,0,1,0,0,1,1,5,4,5,25,100,25,100,1,,,
16-Feb,18.05,12:19:00 PM,12:37:03 PM,1,1,1,1,1,1,1,1,0,88.88888889,1,1,0,1,0,1,0,1,0,55.55555556,2,1,3,36659,2,21,1,8,1,Tuesday 2/16,5,photo,0,0,1,1,0,0,0,0,0,0,0,6,8,2,7,100,85.71428571,100,85.71428571,1,,,
11-Feb,19.10,10:24:00 AM,10:43:06 AM,1,0,1,1,1,1,1,1,1,88.88888889,1,1,0,0,0,1,0,1,1,55.55555556,2,1,1,36722,1,22,0,.,1,Friday 2/12,4,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
11-Feb,18.45,3:15:00 PM,3:33:27 PM,1,1,1,1,1,1,1,0,1,88.88888889,1,0,1,1,1,0,0,0,0,44.44444444,2,1,1,36735,2,21,1,5,1,Thursday 2/11,3,photo,0,0,1,0,0,0,0,0,0,0,0,3,4,1,8,100,87.5,100,87.5,1,,,
10-Feb,16.10,1:24:00 PM,1:40:06 PM,0,1,1,1,1,0,1,0,1,66.66666667,1,1,0,0,1,1,0,0,0,44.44444444,2,1,1,36789,2,21,1,6,1,Wednesday 2/10,2,photo,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,0,,,
11-Feb,21.58,12:39:00 PM,1:00:35 PM,1,0,0,1,0,1,1,1,1,66.66666667,1,1,1,0,0,1,1,0,0,55.55555556,2,2,1,36816,1,23,1,6,1,Thursday 2/11,3,photo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,.,66.66666667,,66.66666667,1,,,
16-Feb,23.30,1:12:00 PM,1:35:18 PM,1,1,0,0,0,0,1,1,1,55.55555556,1,1,1,0,0,0,1,1,1,66.66666667,2,1,1,36834,1,22,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
17-Feb,19.48,2:18:00 PM,2:37:29 PM,1,1,1,1,1,1,1,0,1,88.88888889,1,1,0,1,1,1,0,1,1,77.77777778,2,1,1,36954,2,22,0,.,1,Wednesday 2/17,6,nophoto,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,,,,
