congruent_stand,incongruent_stand,congruent_sit,incongruent_sit
892.1428571,1016.5,1031.96,1090.777778
701.6111111,815.0857143,610.4722222,662.1944444
1009.741935,1050.133333,949.8787879,1105.454545
734.6285714,819.4,636.3333333,866.5714286
904.8529412,1016.115385,902.7272727,1024.090909
955.9117647,954.2727273,839.3611111,914.28125
879.21875,981.0285714,945.0571429,1087.147059
872.3529412,925.7666667,883.5142857,926.7741935
876.3125,1033.088235,1062.24,1213.285714
797.3333333,932.8571429,771.5833333,958.75
732.4117647,840.3611111,754.2941176,872.1428571
929.1515152,1007.212121,905.8571429,1032.575758
739.15625,914.7272727,771.2352941,875.6875
1112.088235,1178.730769,1031.363636,1103.8125
596.5757576,707.6666667,660.1764706,723.5428571
753.7714286,851.6969697,777.6764706,884
829.6857143,968.8857143,949.8076923,1172.586207
923.25,998.4242424,912,1008.333333
897.7575758,947.6470588,983.6129032,1005.913043
755.9142857,878.25,755.7428571,812.9722222
666.2285714,787.9117647,759,890.65625
714.6285714,829.5,727.6111111,918.8611111
603.8571429,682.1470588,634.4242424,679.1818182
1042.225806,1099.666667,1011.59375,1086.580645
793.3823529,871.53125,864.5277778,959.09375
784.0555556,920.8333333,720.2777778,880.6944444
724.6666667,862.8611111,724.6111111,869.7428571
811.1176471,929.625,734.969697,910.4
768.0857143,841.8,779.6857143,890.5714286
900.4666667,1109.818182,843.7241379,1040.1
688.2222222,784.3714286,751.6,851.0857143
835.8,878,905.6363636,994.6176471
751.7,826.4,871.9130435,945.2380952
884.7575758,1010.705882,863.6333333,1007.678571
752.1111111,754.5714286,707.2285714,764.9705882
741.9411765,746.6111111,656.0833333,743.0294118
705.2777778,771.9714286,738.6764706,879.2777778
756.7419355,885.7352941,755.7058824,801.3548387
870.4444444,941.9142857,988.8285714,1112.393939
750.1944444,848.2352941,681,867.8
857.5789474,933.125,816.6333333,931.6666667
793.5142857,896.4375,782.4375,842.7741935
940.1428571,1048.185185,1025.3125,1198.333333
815.9375,982.4285714,829.3428571,963.8
677.1666667,758.1714286,708.0277778,849.2352941
823.3428571,844.5,776.34375,953.0833333
728.969697,833.8571429,768.7272727,912.4193548
721.4705882,849.7428571,789.7222222,957.4722222
811.6666667,1020.647059,943.7878788,1109.740741
788.4285714,806.5,800.2,886.5294118
